Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
198,Tracy Jackson\jackstr01,1982,1982,1,11,66,10,26,0,0,6,10,7,12,5,3,0,6,5,26,0.385,,0.6,6,2.4,1.1,0.5
199,Mike James\jamesmi01,2004,2004,1,55,1684,213,510,86,226,76,95,20,176,244,70,2,83,113,588,0.418,0.381,0.8,30.6,10.7,3.2,4.4
200,John Janisch\janisjo01,1948,1948,1,3,,1,7,,,1,2,,,0,,,,3,3,0.143,,0.5,,1,,0
201,Al Jefferson\jeffeal01,2005,2007,3,199,4432,837,1630,0,8,372,564,453,1367,142,100,207,264,593,2046,0.513,0,0.66,22.3,10.3,6.9,0.7
202,Jonas Jerebko\jerebjo01,2015,2017,3,185,2935,310,729,114,302,112,145,182,700,163,64,48,109,317,846,0.425,0.377,0.772,15.9,4.6,3.8,0.9
203,Amir Johnson\johnsam01,2016,2017,2,159,3408,462,796,37,109,136,221,296,871,278,103,145,171,425,1097,0.58,0.339,0.615,21.4,6.9,5.5,1.7
204,Chris Johnson\johnsch03,2011,2011,1,4,32,2,3,0,0,2,2,1,5,1,0,3,2,3,6,0.667,,1,8,1.5,1.3,0.3
205,Chris Johnson\johnsch04,2014,2014,1,40,789,85,214,43,127,37,43,31,97,31,27,4,22,63,250,0.397,0.339,0.86,19.7,6.3,2.4,0.8
206,Dennis Johnson\johnsde01,1984,1990,7,541,18321,2617,5873,44,282,1527,1817,433,1757,3486,654,233,1221,1476,6805,0.446,0.156,0.84,33.9,12.6,3.2,6.4
207,JaJuan Johnson\johnsja02,2012,2012,1,36,298,54,121,0,0,6,9,20,58,6,5,14,14,25,114,0.446,,0.667,8.3,3.2,1.6,0.2
208,Joe Johnson\johnsjo02,2002,2002,1,48,1003,130,296,24,88,20,26,40,139,74,33,9,28,59,304,0.439,0.273,0.769,20.9,6.3,2.9,1.5
209,Rich Johnson\johnsri01,1969,1971,3,97,1074,200,442,,,57,93,,265,39,,,,198,457,0.452,,0.613,11.1,4.7,2.7,0.4
210,Damon Jones\jonesda01,1999,1999,1,13,213,29,75,15,33,3,4,4,31,29,6,0,12,16,76,0.387,0.455,0.75,16.4,5.8,2.4,2.2
211,Dontae' Jones\jonesdo01,1998,1998,1,15,91,19,57,6,23,0,0,3,9,5,2,3,11,12,44,0.333,0.261,,6.1,2.9,0.6,0.3
212,Dwayne Jones\jonesdw02,2006,2006,1,14,87,4,10,0,0,6,13,10,31,2,1,3,3,14,14,0.4,,0.462,6.2,1,2.2,0.1
213,Johnny Jones\jonesjo01,1968,1968,1,51,475,86,253,,,42,68,,114,26,,,,60,214,0.34,,0.618,9.3,4.2,2.2,0.5
214,Jumaine Jones\jonesju01,2004,2004,1,42,373,33,96,13,44,14,23,24,68,14,12,9,19,48,93,0.344,0.295,0.609,8.9,2.2,1.6,0.3
215,K.C. Jones\joneskc01,1959,1967,9,676,17501,1919,4961,,,1173,1814,,2399,2908,,,,1816,5011,0.387,,0.647,25.9,7.4,3.5,4.3
216,Popeye Jones\jonespo01,1999,1999,1,18,206,20,51,0,1,14,17,28,52,15,5,0,7,31,54,0.392,0,0.824,11.4,3,2.9,0.8
217,Sam Jones\jonessa01,1958,1969,12,871,24285,6271,13745,,,2869,3572,,4305,2209,,,,1735,15411,0.456,,0.803,27.9,17.7,4.9,2.5
218,Kris Joseph\josepkr01,2013,2013,1,6,24,2,11,0,2,3,4,1,5,1,0,0,2,2,7,0.182,0,0.75,4,1.2,0.8,0.2
219,Jeff Judkins\judkije01,1979,1980,2,146,2195,434,863,11,27,181,222,102,257,192,110,17,158,275,1060,0.503,0.407,0.815,15,7.3,1.8,1.3
220,George Kaftan\kaftage01,1949,1950,2,76,,315,850,,,208,323,,,206,,,,120,838,0.371,,0.644,,11,,2.7
221,Enes Kanter\kanteen01,2020,2020,1,51,891,176,311,1,7,63,89,141,394,49,21,38,52,85,416,0.566,0.143,0.708,17.5,8.2,7.7,1
222,Tony Kappen\kappeto01,1947,1947,1,18,,25,91,,,24,38,,,6,,,,17,74,0.275,,0.632,,4.1,,0.3
223,Jerry Kelly\kellyje01,1947,1947,1,43,,91,313,,,74,111,,,21,,,,128,256,0.291,,0.667,,6,,0.5
224,Tom Kelly\kellyto01,1949,1949,1,27,,73,218,,,45,73,,,38,,,,73,191,0.335,,0.616,,7.1,,1.4
225,Toby Kimball\kimbato01,1967,1967,1,38,222,35,97,,,27,40,,146,13,,,,42,97,0.361,,0.675,5.8,2.6,3.8,0.3
226,Maurice King\kingma01,1960,1960,1,1,19,5,8,,,0,1,,4,2,,,,3,10,0.625,,0,19,10,4,2
227,Stacey King\kingst01,1997,1997,1,5,33,5,7,0,0,2,3,1,9,1,0,1,1,3,12,0.714,,0.667,6.6,2.4,1.8,0.2
228,Bob Kinney\kinnebo01,1949,1950,2,81,,308,845,,,255,411,,,126,,,,340,871,0.364,,0.62,,10.8,,1.6
229,Greg Kite\kitegr01,1984,1988,5,241,1916,153,378,0,2,72,169,171,472,70,27,97,124,371,378,0.405,0,0.426,8,1.6,2,0.3
